[2025-05-14 19:53:55]  IP: [::1] - Usuario: [] - Estado: [erro de datos] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36][2025-05-14 19:56:32]  IP: [::1] - Usuario: [] - Estado: [erro de datos] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36][2025-05-14 20:05:27]  IP: [::1] - Usuario: [] - Estado: [erro de datos] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36][2025-05-20 01:08:16] IP: [::1] - Usuario: [admin] - Estado: [Éxito] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36]
[2025-05-20 01:08:36] IP: [::1] - Usuario: [admin] - Estado: [Éxito] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36]
[2025-05-20 01:11:42] IP: [::1] - Usuario: [admin] - Estado: [Éxito] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36]
[2025-05-20 01:15:14] IP: [::1] - Usuario: [admin] - Estado: [Éxito] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36]
[2025-05-20 01:15:15] IP: [::1] - Usuario: [admin] - Estado: [Éxito] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36]
[2025-05-20 01:15:15] IP: [::1] - Usuario: [admin] - Estado: [Éxito] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36]
[2025-05-20 01:15:15] IP: [::1] - Usuario: [admin] - Estado: [Éxito] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36]
[2025-05-20 01:16:17] IP: [::1] - Usuario: [uriel] - Estado: [Fallo] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36]
[2025-05-20 01:16:19] IP: [::1] - Usuario: [uriel] - Estado: [Fallo] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36]
[2025-05-20 01:16:25] IP: [::1] - Usuario: [uriel] - Estado: [Éxito] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36]
[2025-05-22 17:42:16] IP: [::1] - Usuario: [] - Estado: [Fallo] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36]
[2025-05-22 17:45:09] IP: [::1] - Usuario: [admin] - Estado: [Éxito] Navegador: [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36]
